"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:35:27.4924728 am","python.exe","16236","QueryBasicInformationFile","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","SUCCESS","CreationTime: 14/10/2020 10:53:37 am, LastAccessTime: 5/8/2022 10:35:12 am, LastWriteTime: 14/10/2020 10:53:37 am, ChangeTime: 23/6/2022 9:43:21 pm, FileAttributes: A"
"10:35:27.4925086 am","python.exe","16236","QueryBasicInformationFile","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","SUCCESS","CreationTime: 14/10/2020 10:53:37 am, LastAccessTime: 5/8/2022 10:35:12 am, LastWriteTime: 14/10/2020 10:53:37 am, ChangeTime: 23/6/2022 9:43:21 pm, FileAttributes: A"
"10:35:27.4925317 am","python.exe","16236","CloseFile","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","SUCCESS",""
"10:35:27.4927186 am","python.exe","16236","CreateFile","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Non-Directory File, Attributes: N, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"10:35:27.4927546 am","python.exe","16236","QueryBasicInformationFile","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","SUCCESS","CreationTime: 14/10/2020 10:53:37 am, LastAccessTime: 5/8/2022 10:35:12 am, LastWriteTime: 14/10/2020 10:53:37 am, ChangeTime: 23/6/2022 9:43:21 pm, FileAttributes: A"
"10:35:27.4927818 am","python.exe","16236","QueryBasicInformationFile","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","SUCCESS","CreationTime: 14/10/2020 10:53:37 am, LastAccessTime: 5/8/2022 10:35:12 am, LastWriteTime: 14/10/2020 10:53:37 am, ChangeTime: 23/6/2022 9:43:21 pm, FileAttributes: A"
"10:35:27.4928035 am","python.exe","16236","CloseFile","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","SUCCESS",""
"10:35:27.4929330 am","python.exe","16236","RegOpenKey","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-567829990-3275918653-3938466184-1002","SUCCESS","Desired Access: All Access"
"10:35:27.4929774 am","python.exe","16236","RegQueryValue","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-567829990-3275918653-3938466184-1002\\Device\HarddiskVolume3\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","NAME NOT FOUND","Length: 40"
"10:35:27.4930233 am","python.exe","16236","RegCloseKey","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-567829990-3275918653-3938466184-1002","SUCCESS",""
"10:35:27.4930506 am","python.exe","16236","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\BAM","REPARSE","Desired Access: Query Value"
"10:35:27.4930950 am","python.exe","16236","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\BAM","NAME NOT FOUND","Desired Access: Query Value"
"10:35:27.4931509 am","python.exe","16236","QueryNameInformationFile","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","BUFFER OVERFLOW","Name: \Windo"
"10:35:27.4931841 am","python.exe","16236","QueryNameInformationFile","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","SUCCESS","Name: \Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
"10:35:27.4932643 am","python.exe","16236","Process Create","C:\windows\System32\WindowsPowerShell\v1.0\powershell.exe","SUCCESS","PID: 18900, Command line: powershell.exe start-process -filepath '.\pylogging\procmon\Procmon.exe' -argumentlist '/terminate' -wait"
"10:35:27.4933998 am","python.exe","16236","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS","Desired Access: Query Value"
"10:35:27.4934437 am","python.exe","16236","RegQueryValue","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders\Cache","SUCCESS","Type: REG_SZ, Length: 112, Data: C:\Users\User\AppData\Local\Microsoft\Windows\INetCache"
